INFO 2022-11-11 14:05:59,326 autoreload 51997 140263233537856 Watching for file changes with StatReloader
DEBUG 2022-11-11 14:05:59,326 autoreload 51997 140263233537856 Waiting for apps ready_event.
DEBUG 2022-11-11 14:05:59,331 autoreload 51997 140263233537856 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2022-11-11 14:05:59,339 autoreload 51997 140263233537856 Watching dir /home/linux/django_adv_topic/logger/bloggerpro/locale with glob **/*.mo.
DEBUG 2022-11-11 14:05:59,339 autoreload 51997 140263233537856 Watching dir /home/linux/django_adv_topic/logger/bloggerpro/myapp/locale with glob **/*.mo.
DEBUG 2022-11-11 14:05:59,397 utils 51997 140263204292352 (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2022-11-11 14:05:59,423 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/contrib/admin/apps.py first seen with mtime 1668153247.5908303
DEBUG 2022-11-11 14:05:59,423 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/template/backends/base.py first seen with mtime 1668153248.0428362
DEBUG 2022-11-11 14:05:59,423 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/db/models/functions/mixins.py first seen with mtime 1668153248.022836
DEBUG 2022-11-11 14:05:59,423 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/core/wsgi.py first seen with mtime 1668153247.9908357
DEBUG 2022-11-11 14:05:59,423 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/contrib/admin/templatetags/base.py first seen with mtime 1668153247.6868315
DEBUG 2022-11-11 14:05:59,423 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/dispatch/__init__.py first seen with mtime 1668153248.022836
DEBUG 2022-11-11 14:05:59,423 autoreload 51997 140263233537856 File /usr/lib/python3.8/abc.py first seen with mtime 1655929098.0
DEBUG 2022-11-11 14:05:59,423 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/db/__init__.py first seen with mtime 1668153248.0028358
DEBUG 2022-11-11 14:05:59,423 autoreload 51997 140263233537856 File /usr/lib/python3.8/email/headerregistry.py first seen with mtime 1655929098.0
DEBUG 2022-11-11 14:05:59,423 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/db/migrations/exceptions.py first seen with mtime 1668153248.0148358
DEBUG 2022-11-11 14:05:59,423 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/dispatch/dispatcher.py first seen with mtime 1668153248.022836
DEBUG 2022-11-11 14:05:59,423 autoreload 51997 140263233537856 File /usr/lib/python3.8/email/base64mime.py first seen with mtime 1655929098.0
DEBUG 2022-11-11 14:05:59,423 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/db/models/aggregates.py first seen with mtime 1668153248.0148358
DEBUG 2022-11-11 14:05:59,423 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/contrib/admin/models.py first seen with mtime 1668153247.5908303
DEBUG 2022-11-11 14:05:59,423 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/templatetags/l10n.py first seen with mtime 1668153248.0428362
DEBUG 2022-11-11 14:05:59,424 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/django/utils/html.py first seen with mtime 1668153248.0508363
DEBUG 2022-11-11 14:05:59,424 autoreload 51997 140263233537856 File /usr/lib/python3.8/email/_encoded_words.py first seen with mtime 1655929098.0
DEBUG 2022-11-11 14:05:59,424 autoreload 51997 140263233537856 File /home/linux/django_adv_topic/logger/env/lib/python3.8/site-packages/sqlparse/filters/right_margin.py first seen with mtime 1668153247.418828
